Software: Software
Wednesday: Wednesday
Labs: Labs
Tuesday: Tuesday
May: May
Thursday: Thursday
Labs: Labs
Wednesday: Wednesday
May: May
Penalties: Penalties
apply: apply
for: for
late: late
delivery: delivery
penalty: penalty
submitted: submitted
hours: hour
late: late
penalty: penalty
submitted: submitted
more: more
than: than
hours: hour
late: late
Lecture: Lecture
Dietmar: Dietmar
Pfahl: Pfahl
Instructions: Instructions
Installation: Installation
Guide: Guide
SUT: SUT
Spec: Spec
SUT: SUT
Spec: Spec
SUT: SUT
Sikuli: Sikuli
Tool: Tool
Suite: Suite
Lab: Lab
Automated: Automated
Testing: Testing
SUT: SUT
SUT: SUT
Spec: Spec
SUT: SUT
SUT: SUT
Spec: Spec
Instructions: Instructions
Installation: Installation
Guide: Guide
Sikuli: Sikuli
Tool: Tool
Suite: Suite
Lecture: Lecture
Dietmar: Dietmar
Pfahl: Pfahl
Next: Next
Weeks: Weeks
Lab: Lab
Automated: Automated
Testing: Testing
Regression: Regression
Testing: Testing
Lecture: Lecture
Industry: Industry
Guest: Guest
Lecture: Lecture
Playtech: Playtech
min: min
Exam: Exam
Preparation: Preparation
min: min
Lecture: Lecture
Dietmar: Dietmar
Pfahl: Pfahl
